City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
5354943,Half Moon Bay,1,US,10/15/20,33,37.46,-122.43,81.45,8.05
5983720,Iqaluit,90,CA,10/15/20,93,63.75,-68.51,37.2,4.7
3833367,Ushuaia,40,AR,10/15/20,77,-54.8,-68.3,59,11.41
2155415,New Norfolk,7,AU,10/15/20,74,-42.78,147.06,39.25,2.46
2411397,Georgetown,35,SH,10/15/20,77,-7.93,-14.42,73.09,15.43
2163355,Hobart,75,AU,10/15/20,70,-42.88,147.33,41.65,10.29
155405,Mafinga,45,TZ,10/15/20,54,-7.25,35.07,74.39,8.61
,,,,,,,,,
3394023,Natal,20,BR,10/15/20,66,-5.79,-35.21,84.2,16.11
2075265,Busselton,100,AU,10/15/20,59,-33.65,115.33,49.62,11.03
,,,,,,,,,
5855927,Hilo,1,US,10/15/20,65,19.73,-155.09,79.68,5.82
2077963,Albany,75,AU,10/15/20,93,-35.02,117.89,48.2,5.37
,,,,,,,,,
3456285,Niquelândia,25,BR,10/15/20,31,-14.47,-48.46,93.72,1.97
4030556,Rikitea,100,PF,10/15/20,77,-23.12,-134.97,73.98,19.62
3843123,Neuquén,0,AR,10/15/20,26,-38.95,-68.06,82.4,9.17
3369157,Cape Town,20,ZA,10/15/20,77,-33.93,18.42,60.3,14.99
1791636,Weinan,40,CN,10/15/20,100,34.5,109.51,51.58,8.95
1796663,Bantou,100,CN,10/15/20,83,26.22,117.49,65.73,2.26
2019118,Nizhniy Tsasuchey,0,RU,10/15/20,93,50.52,115.13,28.94,9.33
2729907,Longyearbyen,40,SJ,10/15/20,86,78.22,15.64,26.6,3.44
6170031,Tuktoyaktuk,90,CA,10/15/20,85,69.45,-133.04,19.4,11.41
3464724,Diamantino,0,BR,10/15/20,28,-14.41,-56.45,97.56,3.18
2613939,Skagen,0,DK,10/15/20,81,57.72,10.58,48,5.01
3370903,Jamestown,84,SH,10/15/20,87,-15.94,-5.72,61.45,16.13
,,,,,,,,,
,,,,,,,,,
2020838,Lensk,100,RU,10/15/20,90,60.73,114.93,36.63,11.83
3576994,Cockburn Town,40,TC,10/15/20,70,21.46,-71.14,86,11.41
1529376,Korla,0,CN,10/15/20,67,41.76,86.15,50,4
5924351,Clyde River,90,CA,10/15/20,100,70.47,-68.59,33.8,12.75
,,,,,,,,,
1490256,Talnakh,75,RU,10/15/20,100,69.49,88.4,24.8,15.66
2123814,Leningradskiy,100,RU,10/15/20,88,69.38,178.42,33.89,10.96
505820,Povenets,96,RU,10/15/20,93,62.85,34.83,37.13,11.72
777019,Vardø,75,NO,10/15/20,86,70.37,31.11,39.2,19.46
,,,,,,,,,
,,,,,,,,,
2214827,Mizdah,95,LY,10/15/20,19,31.45,12.98,75.63,6.06
1223738,Weligama,95,LK,10/15/20,84,5.97,80.42,79.74,12.24
1729469,Baculin,83,PH,10/15/20,71,7.45,126.58,79.14,4.38
3422683,Kangaatsiaq,100,GL,10/15/20,81,68.31,-53.46,34.88,9.69
5282297,Bethel,40,US,10/15/20,60,41.37,-73.41,69.1,16.11
4036284,Alofi,60,NU,10/15/20,69,-19.06,-169.92,77,10.29
4020109,Atuona,0,PF,10/15/20,71,-9.8,-139.03,78.58,20.54
370481,Merowe,0,SD,10/15/20,12,18.48,31.82,88.79,9.4
2094342,Kavieng,32,PG,10/15/20,75,-2.57,150.8,82,9.28
,,,,,,,,,
2022572,Khatanga,100,RU,10/15/20,96,71.97,102.5,12.9,6.26
3372964,Lagoa,90,PT,10/15/20,85,39.05,-27.98,69.37,8.95
4034551,Faanui,100,PF,10/15/20,77,-16.48,-151.75,78.69,8.3
1244926,Hambantota,75,LK,10/15/20,94,6.12,81.12,78.8,3.36
,,,,,,,,,
3905088,San Ramón,36,BO,10/15/20,37,-13.28,-64.72,96.66,5.93
962367,Richards Bay,0,ZA,10/15/20,64,-28.78,32.04,73.74,9.37
3366880,Hermanus,100,ZA,10/15/20,88,-34.42,19.23,57,1.01
2206939,Bluff,100,NZ,10/15/20,51,-46.6,168.33,47.35,22.75
,,,,,,,,,
2121385,Severo-Kuril'sk,72,RU,10/15/20,73,50.68,156.12,42.66,28.12
3424607,Tasiilaq,75,GL,10/15/20,87,65.61,-37.64,42.8,5.82
3874787,Punta Arenas,75,CL,10/15/20,47,-53.15,-70.92,55.2,34.45
1507390,Dikson,100,RU,10/15/20,94,73.51,80.55,30.54,21.63
3421719,Narsaq,75,GL,10/15/20,69,60.92,-46.05,35.6,4.7
1274899,Chākia,0,IN,10/15/20,70,26.42,85.05,79.39,2.62
,,,,,,,,,
3831208,Qaanaaq,55,GL,10/15/20,85,77.48,-69.36,27.37,5.7
3461370,Imbituba,40,BR,10/15/20,60,-28.24,-48.67,71.6,13.87
2381334,Atar,1,MR,10/15/20,21,20.52,-13.05,100.4,6.93
1855540,Naze,15,JP,10/15/20,78,28.37,129.48,73.4,3.36
5848280,Kapaa,40,US,10/15/20,78,22.08,-159.32,81.03,8.05
2110227,Butaritari,100,KI,10/15/20,75,3.07,172.79,81.77,13.04
1502697,Kondinskoye,100,RU,10/15/20,93,59.65,67.41,32.43,9.46
3170094,Portoferraio,75,IT,10/15/20,87,42.81,10.31,56.75,8.05
